id,animalid,address,y,x,location,date,type,breed,color,sex,age,image
25,A732133,12109 TWIN CREEKAUSTIN 78652,30.139738,-97.828532,Yes (come to the shelter),8/3/16,Cat,Domestic Shorthair Mix,Black/White,Intact Male,2 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732133&LOCATION=ASTN
26,A732142,3300 KILLINGSWORTH78660,30.411913,-97.605404,Yes (come to the shelter),8/3/16,Dog,Pit Bull Mix,Tan,Intact Female,5 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732142&LOCATION=ASTN
27,A732139,14204 JACOBSON78617,30.137226,-97.618729,Yes (come to the shelter),8/3/16,Dog,Australian Cattle Dog Mix,Black/White,Intact Male,2 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732139&LOCATION=ASTN
28,A732128,9315 ROWLANDS SAYLE RDAUSTIN 78744,30.16003,-97.778296,Yes (come to the shelter),8/3/16,Dog,German Shepherd Mix,Tricolor/Brown,Intact Female,4 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732128&LOCATION=ASTN
29,A732170,2800 METCALFE RDAUSTIN 78741,30.224276,-97.737172,Yes (come to the shelter),8/3/16,Dog,German Shepherd Mix,Black,Intact Female,4 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732170&LOCATION=ASTN
30,A732134,12109 TWIN CREEKAUSTIN 78652,30.139738,-97.828532,Yes (come to the shelter),8/3/16,Cat,Domestic Shorthair Mix,Torbie/White,Intact Female,2 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732134&LOCATION=ASTN
31,A731828,5501 CATSBY CTAUSTIN 78724,30.25303,-97.580509,Yes (come to the shelter),8/3/16,Dog,Australian Shepherd Mix,Black/Blue Merle,Intact Male,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A731828&LOCATION=ASTN
32,A732146,12309 TWIN CREEKS RDAUSTIN 78652,30.135955,-97.828459,Yes (come to the shelter),8/3/16,Dog,Chihuahua Longhair Mix,White,Intact Female,5 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732146&LOCATION=ASTN
33,A732147,12309 TWIN CREEKS RDAUSTIN 78652,30.135955,-97.828459,Yes (come to the shelter),8/3/16,Dog,Chihuahua Shorthair Mix,Black,Neutered Male,6 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732147&LOCATION=ASTN
34,A732186,CHAPARRAL CROSSING AUSTIN 78725,30.242394,-97.615386,No (contact for more info),8/3/16,Dog,Alaskan Husky Mix,White/Gray,Neutered Male,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732186&LOCATION=ASTN
35,A732226,1417 DARJEELING DRPFLUGERVILLE 78660,30.422302,-97.636711,Yes (come to the shelter),8/4/16,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,2 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732226&LOCATION=ASTN
36,A730638,LA PAZ LN DEL VALLE 78719,30.143087,-97.673385,No (contact for more info),8/4/16,Dog,Cocker Spaniel Mix,White/Brown,Intact Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A730638&LOCATION=ASTN
37,A731599,3 NILES RDAUSTIN 78703,30.285902,-97.757678,Yes (come to the shelter),8/4/16,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,3 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A731599&LOCATION=ASTN
38,A732354,3504 TAYLOR FALLS DR78660,30.456192,-97.571825,Yes (come to the shelter),8/6/16,Dog,Australian Cattle Dog Mix,White,Intact Female,5 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732354&LOCATION=ASTN
39,A732413,71 AUSTIN78741,30.343601,-97.992231,Yes (come to the shelter),8/7/16,Dog,Whippet Mix,Black/White,Intact Female,3 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732413&LOCATION=ASTN
40,A732264,2104 E ANDERSON LNAUSTIN 78752,30.329343,-97.678447,Yes (come to the shelter),8/4/16,Dog,Labrador Retriever Mix,Black,Neutered Male,8 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732264&LOCATION=ASTN
41,A732257,35 AUSTIN78741,30.309466,-97.838195,Yes (come to the shelter),8/4/16,Dog,Schnauzer Giant Mix,Tan,Intact Female,5 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732257&LOCATION=ASTN
42,A473929,902 SWEETWATER RIVER DRAUSTIN 78748,30.163368,-97.81573,No (contact for more info),8/5/16,Cat,Domestic Shorthair Mix,Black,Neutered Male,9 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A473929&LOCATION=ASTN
43,A732273,1601 E SLAUGHTER LNAUSTIN 78747,30.152727,-97.768646,Yes (come to the shelter),8/5/16,Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,12 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732273&LOCATION=ASTN
44,A732251,9002 HUNTERS TRACEAUSTIN 78758,30.365437,-97.711976,No (contact for more info),8/4/16,Cat,Domestic Shorthair Mix,White/Black,Intact Female,5 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732251&LOCATION=ASTN
45,A732279,9300 NORTH GATE BLVDAUSTIN 78758,30.372254,-97.715422,Yes (come to the shelter),8/5/16,Cat,Domestic Medium Hair Mix,Brown Tabby,Intact Female,8 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732279&LOCATION=ASTN
46,A732252,9002 HUNTERS TRACEAUSTIN 78758,30.365437,-97.711976,No (contact for more info),8/4/16,Cat,Domestic Shorthair Mix,White/Black,Intact Male,5 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732252&LOCATION=ASTN
47,A732250,9002 HUNTERS TRACEAUSTIN 78758,30.365437,-97.711976,No (contact for more info),8/4/16,Cat,Domestic Shorthair Mix,Black Tabby,Intact Female,5 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732250&LOCATION=ASTN
48,A732301,2200 PATTERSON INDUSTRIAL DRPFLUGERVILLE 78660,30.404653,-97.628826,No (contact for more info),8/5/16,Dog,German Shepherd/Siberian Husky,Black/Tan,Intact Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732301&LOCATION=ASTN
